NAME,Category,Sub Category,Main Ingredient_1,Ingredient_2
ကညွတ်ပုဇွန်ကြော်,အရံဟင်း,အသားနှင့် အသီးအရွက်,ကညွတ်,
ပဲပင်ပေါက်ပဲပြားကြော်,အရံဟင်း,အသီးအရွက်,ပဲပင်ပေါက်,ပဲပြား
မန်ကျည်းသီးစိမ်းပုဇွန်ကျော့ကြော်,အရံဟင်း,အသီးအရွက်,မန်ကျည်းသီးစိမ်း,
ဂွေးသီးငါးပိကြော်,အရံဟင်း,အငန်ချက်ဟင်းများ,ဂွေးသီး,
ငါးဖယ်လုံးဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ငါးဖယ်,
ကညွတ်နှစ်တရာသီးကြော်,အရံဟင်း,အသီးအရွက်,ကညွတ်,နှစ်တရာသီး
ပုဇွန်ပင်စိမ်းချက် (ငရုတ်သီးပါ),ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ပုဇွန်,
ပဲလိပ်ပြာနှပ်,အရံဟင်း,အသီးအရွက်,ပဲလိပ်ပြာ,
အာလူးကတ်သလိတ်ကြော်,အရံဟင်း,အသီးအရွက်,အာလူး,
ငွေနှင်းမှိုအစပ်ချက်,အရံဟင်း,အသီးအရွက်,ငွေနှင်းမှို,
မန်ကျည်းရွက်သုပ်,အသုပ်,အသီးအရွက်သုပ်,မန်ကျည်းရွက်,
ကင်ပွန်းချဉ်ရွက်ဟင်းချို,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ကင်ပွန်းချဉ်ရွက်,
ကန်စွန်းရည်ချည်ရည်ဟင်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ကန်စွန်းရိုးနီ,
ချဉ်ပေါင်ရွက်ချဉ်ရည်ဟင်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ချဉ်ပေါင်ရွက်,
အသားစင်းကော ခရမ်းချဉ်သီးချက် (ကြက်/ဝက်/အမဲ/ဆိတ်),အသားဟင်း,Stired Fried,ကြက်/၀က်/အမဲ/ဆိတ်,
အသားသုပ်(ကြက်သား/ဝက်သား),အသုပ်,အသားသုပ်,ကြက်/၀က်,
ပြည်ကြီးငါး / ကင်းမွန်သုပ်,အသုပ်,အသားသုပ်,ပြည်ကြီးငါး,
ငါးဖယ်သုပ်,အသုပ်,အသားသုပ်,ငါးဖယ်,
ပဲစောင်းလျားသီးသုပ်,အသုပ်,အသီးအရွက်သုပ်,ပဲစောင်းလျားသီး,
မုန်လာဥနီ/ဖြူသုပ်,အသုပ်,အသီးအရွက်သုပ်,မုန်လာဥနီ,
သင်္ဘောသီးသုပ်,အသုပ်,အသီးအရွက်သုပ်,သင်္ဘောသီး,
မရမ်းသီးသုပ်,အသုပ်,အသီးအရွက်သုပ်,မရမ်းသီး,
ခရမ်းသီးသုပ်,အသုပ်,အသီးအရွက်သုပ်,ခရမ်းသီး,
ခရမ်းသီးမီးဖုတ်သုတ်,အသုပ်,အသီးအရွက်သုပ်,ခရမ်းသီး,
ကျောက်ပွင့်သုပ်,အသုပ်,အသီးအရွက်သုပ်,ကျောက်ပွင့်,
ရှောက်သီးသုပ်,အသုပ်,အသီးအရွက်သုပ်,ရှောက်သီး,
